Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
52,16,2,68,8,Some Random Commen with Id 52
53,16,2,6,6,Some Random Commen with Id 53
54,16,2,42,6,Some Random Commen with Id 54
55,17,7,199,3,Some Random Commen with Id 55
56,17,7,166,5,Some Random Commen with Id 56
57,17,7,34,8,Some Random Commen with Id 57
58,17,7,38,6,Some Random Commen with Id 58
59,17,7,22,4,Some Random Commen with Id 59
60,17,7,107,6,Some Random Commen with Id 60
61,18,8,52,1,Some Random Commen with Id 61
62,19,5,143,4,Some Random Commen with Id 62
63,19,5,84,2,Some Random Commen with Id 63
64,19,5,40,7,Some Random Commen with Id 64
65,19,5,77,8,Some Random Commen with Id 65
66,19,5,16,5,Some Random Commen with Id 66
67,19,5,196,9,Some Random Commen with Id 67
68,19,5,185,9,Some Random Commen with Id 68
69,20,0,125,1,Some Random Commen with Id 69
70,20,0,137,8,Some Random Commen with Id 70
71,20,0,151,9,Some Random Commen with Id 71
72,20,0,3,8,Some Random Commen with Id 72
73,20,0,193,7,Some Random Commen with Id 73
74,20,0,86,0,Some Random Commen with Id 74
75,20,0,188,0,Some Random Commen with Id 75
76,20,0,16,2,Some Random Commen with Id 76
77,21,8,58,4,Some Random Commen with Id 77
78,22,2,38,2,Some Random Commen with Id 78
79,22,2,187,9,Some Random Commen with Id 79
80,22,2,91,8,Some Random Commen with Id 80
81,22,2,138,4,Some Random Commen with Id 81
82,22,2,134,2,Some Random Commen with Id 82
83,22,2,190,2,Some Random Commen with Id 83
84,22,2,174,6,Some Random Commen with Id 84
85,22,2,146,3,Some Random Commen with Id 85
86,22,2,17,6,Some Random Commen with Id 86
87,23,6,165,0,Some Random Commen with Id 87
88,23,6,112,6,Some Random Commen with Id 88
89,23,6,102,4,Some Random Commen with Id 89
90,25,0,80,6,Some Random Commen with Id 90
91,26,4,187,5,Some Random Commen with Id 91
92,26,4,195,8,Some Random Commen with Id 92
93,26,4,153,4,Some Random Commen with Id 93
94,27,2,62,8,Some Random Commen with Id 94
95,27,2,12,2,Some Random Commen with Id 95
96,27,2,60,5,Some Random Commen with Id 96
97,27,2,78,0,Some Random Commen with Id 97
98,28,8,30,3,Some Random Commen with Id 98
99,28,8,115,7,Some Random Commen with Id 99
100,28,8,115,2,Some Random Commen with Id 100
101,28,8,54,9,Some Random Commen with Id 101
102,28,8,175,4,Some Random Commen with Id 102
103,28,8,139,4,Some Random Commen with Id 103
104,28,8,136,3,Some Random Commen with Id 104
105,28,8,197,7,Some Random Commen with Id 105
106,28,8,174,9,Some Random Commen with Id 106
107,29,4,80,0,Some Random Commen with Id 107
108,31,1,136,6,Some Random Commen with Id 108
109,31,1,100,0,Some Random Commen with Id 109
110,31,1,70,7,Some Random Commen with Id 110
111,31,1,109,5,Some Random Commen with Id 111
112,31,1,114,3,Some Random Commen with Id 112
113,31,1,58,5,Some Random Commen with Id 113
114,31,1,157,1,Some Random Commen with Id 114
115,31,1,6,5,Some Random Commen with Id 115
116,31,1,186,7,Some Random Commen with Id 116
117,32,9,75,2,Some Random Commen with Id 117
118,32,9,82,6,Some Random Commen with Id 118
119,32,9,24,3,Some Random Commen with Id 119
120,32,9,18,0,Some Random Commen with Id 120
121,32,9,126,3,Some Random Commen with Id 121
122,32,9,180,7,Some Random Commen with Id 122
123,32,9,171,8,Some Random Commen with Id 123
124,32,9,152,0,Some Random Commen with Id 124
125,33,0,31,3,Some Random Commen with Id 125
126,33,0,88,0,Some Random Commen with Id 126
127,33,0,0,5,Some Random Commen with Id 127
128,33,0,189,6,Some Random Commen with Id 128
129,33,0,193,8,Some Random Commen with Id 129
130,33,0,170,6,Some Random Commen with Id 130
131,33,0,121,3,Some Random Commen with Id 131
132,33,0,98,6,Some Random Commen with Id 132
133,34,4,143,4,Some Random Commen with Id 133
134,34,4,157,3,Some Random Commen with Id 134
135,34,4,31,6,Some Random Commen with Id 135
136,34,4,102,5,Some Random Commen with Id 136
137,35,5,14,8,Some Random Commen with Id 137
138,35,5,142,3,Some Random Commen with Id 138
139,35,5,14,4,Some Random Commen with Id 139
140,35,5,186,0,Some Random Commen with Id 140
141,36,9,97,9,Some Random Commen with Id 141
142,36,9,107,6,Some Random Commen with Id 142
143,36,9,78,3,Some Random Commen with Id 143
144,36,9,62,7,Some Random Commen with Id 144
145,36,9,143,7,Some Random Commen with Id 145
146,36,9,131,9,Some Random Commen with Id 146
147,37,0,165,3,Some Random Commen with Id 147
148,37,0,38,2,Some Random Commen with Id 148
149,37,0,57,0,Some Random Commen with Id 149
150,37,0,109,1,Some Random Commen with Id 150
151,37,0,9,9,Some Random Commen with Id 151
152,38,0,177,9,Some Random Commen with Id 152
153,38,0,99,3,Some Random Commen with Id 153
154,38,0,121,2,Some Random Commen with Id 154
155,38,0,37,3,Some Random Commen with Id 155
156,38,0,16,6,Some Random Commen with Id 156
157,38,0,35,6,Some Random Commen with Id 157
158,38,0,130,5,Some Random Commen with Id 158
159,38,0,188,6,Some Random Commen with Id 159
160,39,8,11,0,Some Random Commen with Id 160
161,39,8,93,4,Some Random Commen with Id 161
162,39,8,112,1,Some Random Commen with Id 162
163,39,8,25,6,Some Random Commen with Id 163
164,39,8,60,7,Some Random Commen with Id 164
165,39,8,23,7,Some Random Commen with Id 165
